country,name,address,sector,lat,lng
Germany,Hanes Global Supply Chain Germany GmbH,"Chonlinder Stasse 1-11,86956 SCHONGAU",Apparel,47.8161231,10.8927015
France,Hanes France SAS TMD,Boulevard Giberstein - 71400 AUTUN,Apparel,46.952314,4.283505
France,Hanes France SAS CDF,4 rue Nicephore Niepce - Autun Cedex,Apparel,46.96961049999999,4.3035302
Romania,Rosko Textil (Arad),"Parc Industrial UTA,Arad",Apparel,46.1961188,21.311336
Indonesia,PT Pacific Brands,"Kawasan Industri Jababeka XIIB Block W No 39,Bekasi 17530",Apparel,-6.276127100000001,107.138644
Dominican Republic,Bonao - Dos Rios,"Autopista Duarte KM 80,Bonao,Dominican Republic",Apparel,18.9395153,-70.3930733
Mexico,Rinplay S. DE R.L. DE C.V. (Huichapan),"KM 202.5 Carr. Mx,Cd. Juarez,Huichapan,Hidalgo",Apparel,20.3786677,-99.6508401
Honduras,Hanes Ink,"800 Mtrs Rd to LaJutosa,Choloma,Cortes",Apparel,15.6186138,-87.97527889999999
Honduras,Hanes Choloma Cutting,"Carretera SPS Pto Cortes,Choloma,Cortes - Bldg 1",Apparel,15.825072,-87.92857769999999
United States,Clarksville Hosiery,"1904 W. Clark Rd.,Clarksville,AR",Apparel,35.4639906,-93.48955389999999
El Salvador,Bonaventure,"Km.26.5 Carretera a Sonsonate,Colon,La Libertad",Apparel,13.7113876,-89.72390970000001
Romania,Rosko Textil (Curtici),"Zona Libera,Curtici,Arad",Apparel,46.35079229999999,21.2859004
Vietnam,Hung Yen North,"Yen Lich Village,Dan Tien Commune,Hung Yen",Apparel,20.8460342,106.0096511
Dominican Republic,San Isidro,"Zona Franca San Isidro,Dominican Republic",Apparel,18.4991668,-69.7917495
South Africa,DBA Apparel (Pty) Ltd.,"101 Lawley Street,Durban",Apparel,-29.935674,30.980522
Honduras,Jogbra,"ZIP Buena Vista,Edificio B3,Villanueva,Cortes",Apparel,15.3501915,-87.9867603
Honduras,Hanes Choloma Cutting,"Zip Choloma,Edificio DF,Choloma,Cortes",Apparel,15.603226,-87.9573723
Honduras,Hanes Choloma Sewing 2,"Zip Choloma,Edificio G,Choloma,Cortes",Apparel,15.603226,-87.9573723
El Salvador,Jiboa - El Pedregal,"Km. 46 12 Car a La Herradura,El Rosario,La Pax",Apparel,13.3536924,-88.9533563
El Salvador,Confecciones - El Pedregal 4c,"Km. 46 12 Car a La Herradura,El Rosario,La Pax",Apparel,13.3536924,-88.9533563
Thailand,Surin Plant,"No. 99 Moo 1,Highway No. 214,Surin",Apparel,14.882905,103.4937107
Vietnam,Hung Yen South,"Ching Nghia Commune,Kim Dong District,Hung Yen",Apparel,20.7586218,106.0610787
Brazil,Cotia,"Travessa Macapa 120,Km 33 Rod. raposo Tavares,San Paulo,Brazil",Apparel,0.0355735,-51.070535
El Salvador,ES Textiles,"Km 34 Carretera a San Juan Opico,La Libertad",Apparel,13.8283931,-89.3557981
United States,GFSI - Lenexa (Commerce Pkwy),"9700 Commerce Parkway,Lenexa,KS",Apparel,38.9533222,-94.766408
Mexico,GFSI Southwest S DE Rl DE CV,"PRIVADA MARTEL SN MANZANA 4,LOTE 7 & 8,Reynosa",Apparel,26.0384327,-98.2151384
Vietnam,Phu Bai,An Qiu Xin Tian Heng Computerized  Embroidery Co. Ltd.,Apparel,14.058324,108.277199
Philippines,PIPLAY - Binan Laguna Plant,"Laguna Int'l Industrial Park,Mamplasan,Biban,Laguna",Apparel,14.2902879,121.0830336
United States,GTM Sportwear,"520 McCall Rd.,Manhattan,KS",Apparel,39.1879912,-96.5498677
United States,Mount Airy Sock,"643 West Pine St.,Mt. Airy,NC",Apparel,36.497605,-80.6169172
Argentina,San Juan - Indumentaria Andina,"Buenos Aires 1364,San Juan City,Argentina",Apparel,-34.6036844,-58.3815591
El Salvador,ES Sock,"Km 34 Carretera,San Juan Opico,La Libertad",Apparel,13.8283931,-89.3557981
Argentina,Buenos Aires - Alsina 1771,"Alsina 1771,San Martin,Buenos Aires,Argentina",Apparel,-34.5837832,-58.53996950000001
Dominican Republic,Bali D,"ZONA FRANCA INDUSTRIAL,San Pedro de Marcoris",Apparel,18.4525332,-69.2892434
El Salvador,ES Sew,"Sam LI-KM 31.5,Santa Ana,La Libertad,San Juan Opico",Apparel,13.8758656,-89.3582599
Dominican Republic,Santo Domingo - Las Americas,"Autopista Las Americas KM 22,Santo Domingo,Dominican Republic",Apparel,18.5356616,-70.04825629999999
United States,Woolwine,"138 Elamsville Rd.,Stuart,VA",Apparel,36.7749261,-80.2631256
Romania,Universal Zalau Plant,"77 Blvd. Mihai Viteazu,Zalau",Apparel,47.20112899999999,23.0533773
